,antecedent,consequent,confidence,antetitle,constitle
52,870970-basis:24765210,870970-basis:27047548,0.714285714286,Norge,Turen går til Norge
39,870970-basis:29066019,870970-basis:28607857,0.670103092784,Flere hæklede dyr,Hæklede dyr
38,870970-basis:28607857,870970-basis:29066019,0.663265306122,Hæklede dyr,Flere hæklede dyr
17,870970-basis:26176972,870970-basis:26820359,0.590909090909,Politikens visuelle guide - London,Turen går til London
1,870970-basis:28029608,870970-basis:26765552,0.586206896552,Politikens visuelle guide - Barcelona & Catalonien,Turen går til Barcelona og Costa Brava
10,870970-basis:27288146,870970-basis:28414897,0.563829787234,Politikens Kort og godt om Berlin,Politikens visuelle guide - Berlin
25,125610-katalog:20035862,820010-katalog:2351249,0.545454545455,Rejsen over stepperne,Hulebjørnens klan
34,870970-basis:28557590,870970-basis:27474659,0.533333333333,Strik en stund,Strik naturligvis!
2,870970-basis:29702446,870970-basis:50657469,0.532110091743,Axel Strøbye : en tragisk komedie,Ikke et sekund spildt
3,870970-basis:51161165,870970-basis:29537011,0.504098360656,Kærligheden kampen og kloden : en erindringsdebatbog,Jesus pengene og livet
33,870970-basis:27474659,870970-basis:28557590,0.5,Strik naturligvis!,Strik en stund
44,870970-basis:50928586,870970-basis:29943346,0.5,Mæt & slank med LCHF : low carb high fat,Spis dig mæt & glad : LCHF : low carb high fat
43,870970-basis:29320594,870970-basis:29027471,0.492537313433,Mit liv som papegøje : erindringer,Vi kan sove i flyvemaskinen
35,870970-basis:27269184,870970-basis:28392621,0.478260869565,Slagtebænk Dybbøl : 18. april 1864 : historien om et slag,Dommedag Als : 29. juni 1864 : kampen for Danmarks eksistens
9,870970-basis:28461747,870970-basis:29027471,0.475806451613,Længe leve livet,Vi kan sove i flyvemaskinen (1)
12,870970-basis:29492301,870970-basis:29143315,0.471074380165,Verdens bedste kur vol. 2.0,Verdens bedste kur : vægttab der holder
22,870970-basis:28694156,870970-basis:29689954,0.469230769231,Mere feminin strik,Suveræn strik på den feminine måde
23,870970-basis:28992408,870970-basis:29027471,0.4375,Bag skodderne,Vi kan sove i flyvemaskinen (2)
26,870970-basis:29623627,870970-basis:50657469,0.430894308943,Preben Kꜳs : det bli'r vinter førend man aner,Ikke et sekund spildt (1)
36,870970-basis:28392621,870970-basis:27269184,0.427777777778,Dommedag Als : 29. juni 1864 : kampen for Danmarks eksistens,Slagtebænk Dybbøl : 18. april 1864 : historien om et slag
50,870970-basis:28489617,870970-basis:29027471,0.415384615385,Ingemanns land : et familiedrama,Vi kan sove i flyvemaskinen (3)
21,870970-basis:29689954,870970-basis:28694156,0.412162162162,Suveræn strik på den feminine måde,Mere feminin strik
16,870970-basis:24536793,870970-basis:24725006,0.412121212121,Turen går til Midttyskland,Turen går til Hamburg og Nordtyskland
30,870970-basis:28999305,870970-basis:29027471,0.407894736842,Ghita : en biografi,Vi kan sove i flyvemaskinen (4)
40,870970-basis:28485921,870970-basis:29027471,0.401408450704,Thyra Frank : livsglæde & stjernestunder,Vi kan sove i flyvemaskinen (5)
48,870970-basis:28403801,870970-basis:29027471,0.39751552795,Enegænger : portræt af en prins,Vi kan sove i flyvemaskinen (6)
41,870970-basis:28414897,870970-basis:25451104,0.396984924623,Politikens visuelle guide - Berlin,Turen går til Berlin
24,820010-katalog:2351249,125610-katalog:20035862,0.394160583942,Hulebjørnens klan,Rejsen over stepperne
51,870970-basis:50774228,870970-basis:50789691,0.391304347826,I medgang og medgang : erindringer 1945-1967 (1),Så skal der leves!
14,870970-basis:24536793,870970-basis:25340353,0.387878787879,Turen går til Midttyskland (1),Turen går til Sydtyskland
5,870970-basis:20164557,870970-basis:24352722,0.385620915033,Børnenes rekordbog. Årgang 1993,Guinness world records. Årgang 2003
27,870970-basis:50774228,870970-basis:29537011,0.384057971014,I medgang og medgang : erindringer 1945-1967 (2),Jesus pengene og livet (1)
15,870970-basis:25340353,870970-basis:24536793,0.376470588235,Turen går til Sydtyskland,Turen går til Midttyskland
42,870970-basis:25451104,870970-basis:28414897,0.372641509434,Turen går til Berlin,Politikens visuelle guide - Berlin (1)
45,870970-basis:29943346,870970-basis:50928586,0.37037037037,Spis dig mæt & glad : LCHF : low carb high fat,Mæt & slank med LCHF : low carb high fat
47,870970-basis:50774228,870970-basis:51161165,0.36231884058,I medgang og medgang : erindringer 1945-1967,Kærligheden kampen og kloden : en erindringsdebatbog
6,870970-basis:50699633,870970-basis:29027471,0.36231884058,Dorph - historier fra den anden side,Vi kan sove i flyvemaskinen (7)
19,870970-basis:50699633,870970-basis:50789691,0.36231884058,Dorph - historier fra den anden side (1),Så skal der leves! (1)
53,870970-basis:27047548,870970-basis:24765210,0.344827586207,Turen går til Norge,Norge
4,870970-basis:29537011,870970-basis:51161165,0.344537815126,Jesus pengene og livet,Kærligheden kampen og kloden : en erindringsdebatbog (1)
28,870970-basis:27933769,870970-basis:29060681,0.338983050847,Kvinde hvorfor græder du : fortællinger fra mit liv,Zornig - vrede er mit mellemnavn
7,870970-basis:29636052,870970-basis:29027471,0.336134453782,Testamentet,Vi kan sove i flyvemaskinen (8)
8,870970-basis:28403801,870970-basis:28293402,0.335403726708,Enegænger : portræt af en prins (1),Dengang det var sjovt : erindringsglimt
29,870970-basis:50789691,870970-basis:29027471,0.333333333333,Så skal der leves!,Vi kan sove i flyvemaskinen (9)
20,870970-basis:50771423,870970-basis:29027471,0.324324324324,Først nu forstår jeg intet,Vi kan sove i flyvemaskinen (10)
13,870970-basis:29143315,870970-basis:29492301,0.320224719101,Verdens bedste kur : vægttab der holder,Verdens bedste kur vol. 2.0
46,870970-basis:50771423,870970-basis:50657469,0.318918918919,Først nu forstår jeg intet (1),Ikke et sekund spildt (2)
31,870970-basis:29386471,870970-basis:29537011,0.314917127072,Alba : en familiekrønike,Jesus pengene og livet (2)
11,870970-basis:25340353,870970-basis:24725006,0.311764705882,Turen går til Sydtyskland (1),Turen går til Hamburg og Nordtyskland (1)
32,870970-basis:51346602,870970-basis:50789691,0.307317073171,Fra koncepterne,Så skal der leves! (2)
37,870970-basis:28992408,870970-basis:28293402,0.306818181818,Bag skodderne (1),Dengang det var sjovt : erindringsglimt (1)
49,870970-basis:29665648,870970-basis:29537011,0.306818181818,Vinter i Prag : en personlig rejse gennem krigens Europa 1937-1948,Jesus pengene og livet (3)
18,870970-basis:50657469,870970-basis:29027471,0.304932735426,Ikke et sekund spildt,Vi kan sove i flyvemaskinen (11)
0,870970-basis:26765552,870970-basis:28029608,0.3,Turen går til Barcelona og Costa Brava,Politikens visuelle guide - Barcelona & Catalonien
