Kommune;BogvÃ_sen og boghÃ¥ndvÃ_rk;Filosofi;Den kristne religion;Samfundsvidenskaberne;Geografi og rejser;Naturvidenskab;Teknik;Kunst;Litteraturteori og litteraturforskning;Historie
Aabenraa Kommune;0.00945200105598;0.0546938030303;0.0164318264246;0.110579283562;0.0918923986766;0.0532504669254;0.330691740417;0.110853147336;0.0503243188564;0.171831013715
Aalborg Kommune;0.00874987910162;0.0703732528489;0.0129151108062;0.182514523624;0.0862658535064;0.0387263502428;0.323545761958;0.092629401944;0.0613476802425;0.122932185725
Aarhus Kommune;0.0109723435251;0.0628093958513;0.0190954029847;0.12770750288;0.103180569522;0.0511584415218;0.30488661471;0.0953033963149;0.084719711705;0.140166620985
Albertslund Kommune;0.0113687984187;0.0573043915974;0.0199751998134;0.126431842457;0.104615044628;0.0698272581061;0.252667247793;0.100882739316;0.103141766215;0.153785711655
Ballerup Kommune;0.00823726579725;0.0491998665766;0.0130006427101;0.114093249917;0.120670859198;0.072756412864;0.275551795114;0.0968621102044;0.100348202446;0.149279595174
Br¿nderslev Kommune;0.0114188128491;0.0463323908925;0.0125748915923;0.100684317488;0.0925552585357;0.0509283109487;0.334281182689;0.118508212215;0.0507498286164;0.181966794173
Esbjerg Kommune;0.0071319742389;0.0752284630892;0.0106185094828;0.279217258817;0.060260352891;0.0410501356913;0.301396795129;0.0717185596465;0.0532763772437;0.10010157377
Frederikshavn Kommune;0.0106725169027;0.0460575967189;0.0143627458635;0.106975001171;0.0935803548657;0.0467498399513;0.334832326198;0.119578512354;0.0490269558474;0.178164150128
Gentofte Kommune;0.0134597030874;0.0463292341555;0.0161402275021;0.0979624361263;0.130580810733;0.0485279948125;0.228919981551;0.0843497559216;0.154566252791;0.179163603319
Gladsaxe Kommune;0.00984921471385;0.0537350394744;0.0168485745876;0.124239446;0.125060618013;0.0590645751566;0.277872970509;0.0996075185734;0.089024421785;0.144697621188
Greve Kommune;0.00920774754118;0.0431545284499;0.0134435527665;0.107560489954;0.129351958004;0.0724883847221;0.281843963072;0.0927774090388;0.0781180232909;0.172053943161
Guldborgsund Kommune;0.00983652766685;0.0534140300118;0.016831607783;0.117673836165;0.0905650657469;0.0484066671959;0.314710566005;0.119598374187;0.0606747870939;0.168288538145
Haderslev Kommune;0.00852329517621;0.054522728421;0.0172706563596;0.136449608214;0.0952719875753;0.0565503061137;0.295872572344;0.10856657067;0.0625473668949;0.164424908232
Hedensted Kommune;0.0108025115545;0.0411484982114;0.0131860537259;0.0954280755351;0.102083930528;0.0569772601438;0.322649933441;0.120186285405;0.0550963430102;0.182441108445
Herning Kommune;0.00915863756527;0.0544067204125;0.0179928338905;0.134019357235;0.0907648948024;0.04815931485;0.322039064036;0.114198946931;0.0643398658539;0.144920364423
Hiller¿d Kommune;0.00982727501679;0.0520326141706;0.016579919409;0.119669241101;0.132597380792;0.0552515320685;0.285523526696;0.0959930112492;0.0837731908999;0.148752308596
Hj¿rring Kommune;0.00899626038587;0.0484111137095;0.0150803787184;0.118026698966;0.0928427663151;0.0471779004995;0.334682472582;0.10956609683;0.0498961662459;0.175320145747
Horsens Kommune;0.00861572353719;0.0612406388676;0.018060734204;0.127216443941;0.0845682959099;0.051257541132;0.321124032235;0.120423886002;0.0584995600347;0.148993144138
H¿je-Taastrup Kommune;0.00932971425976;0.0498285104257;0.0150649616136;0.127379275882;0.126385544905;0.0656203152683;0.290072911461;0.0857504656339;0.089799209558;0.140769090992
Ish¿j Kommune;0.00865726407522;0.042781791079;0.0171539961014;0.132484806788;0.110182318541;0.0854947827084;0.25730994152;0.0778236440775;0.129228299507;0.138883155601
Jammerbugt Kommune;0.00893480880015;0.0401382997034;0.0119316398538;0.0905174595782;0.103547600004;0.0425833493637;0.357751769244;0.12141215539;0.04124186249;0.181941055573
Kalundborg Kommune;0.0106758951673;0.0493066381541;0.0147895428464;0.107575151609;0.0958626825227;0.0686505766453;0.305585256164;0.11474138705;0.0583827814461;0.174430088394
Kolding Kommune;0.0101083751693;0.0552753207427;0.0162204159694;0.134142162722;0.101502111722;0.053020160969;0.309705952666;0.0952944457726;0.0738226153478;0.150908438919
K¿benhavns Kommune;0.0142202545616;0.0684898604657;0.0204011594635;0.151568023917;0.0994436652828;0.0538132080992;0.241557861519;0.0844411413319;0.148796339583;0.117268485776
K¿ge Kommune;0.0110507282975;0.0515363946746;0.0137174488374;0.115820521627;0.108082991576;0.0633144103921;0.313844724136;0.0992343279662;0.0728903614214;0.150508091073
Lejre Kommune;0.0106177428556;0.0370424893731;0.0147765121543;0.0837642382644;0.131301792933;0.0654300768575;0.331437965025;0.10787037889;0.0594066086402;0.158352195008
Lemvig Kommune;0.00920387898496;0.0400310667209;0.0169415248824;0.0998925730213;0.0840543522444;0.0491333255908;0.335339120841;0.128955925904;0.0515504326113;0.184897799199
Lolland Kommune;0.009661213909;0.0482166800751;0.0144489139179;0.11687851971;0.0794243318137;0.0421060159113;0.317947617771;0.124741217485;0.0469723786538;0.199603110754
Mors¿ Kommune;0.00948760500688;0.042716735492;0.0152959489535;0.111021059267;0.0947409723026;0.0419512948169;0.30276073225;0.112313946458;0.0512780929592;0.218433612494
Randers Kommune;0.00970119920616;0.0552001369695;0.0165352033201;0.125951612164;0.0869201405384;0.0507413954004;0.320703849372;0.108003308488;0.0649929706697;0.161250183872
Rebild Kommune;0.0110009643202;0.0416663452266;0.0140096432015;0.0879614271938;0.134410800386;0.0441658630665;0.326279652845;0.113388621022;0.0506538090646;0.176462873674
Ringsted Kommune;0.00913906633101;0.0571058393263;0.0166053022165;0.122186323791;0.0880614027175;0.0667123141641;0.324557806952;0.103649886428;0.0592132776817;0.152768780392
Roskilde Kommune;0.0191972328313;0.0888232326872;0.0106363046768;0.348879440801;0.0588888088204;0.0416228291417;0.200936801902;0.0558478057217;0.0721913958348;0.102976147582
Silkeborg Kommune;0.0108514777228;0.0613354583167;0.0184568870556;0.132420840462;0.0866946351982;0.0661518269389;0.333114585042;0.0968547120726;0.073429113835;0.120690463356
Slagelse Kommune;0.00861267567124;0.0543153445553;0.0168699075846;0.129796480303;0.0964265839764;0.052010589329;0.308642590847;0.101346504589;0.0686183370379;0.163360986107
Solr¿d Kommune;0.0101544595778;0.0548092390055;0.0150608957041;0.121338028606;0.139970064529;0.0571817182464;0.264829547925;0.0959922490731;0.074981523231;0.165682274102
Sor¿ Kommune;0.00439146800502;0.104797958096;0.00690947216445;0.466389371101;0.00104845224386;0.0136900362661;0.336144961414;0.0231862635568;0.023349547103;0.0200924700504
Struer Kommune;0.0109270719573;0.0478218662784;0.0168122800631;0.110399223395;0.103167091372;0.0670489018323;0.299720907657;0.120434413299;0.0648707681107;0.158797476034
S¿nderborg Kommune;0.0103905689822;0.0498101986587;0.0145788519128;0.111177190097;0.0995592391075;0.0552954574212;0.328166519043;0.107739676916;0.0652747901641;0.158007507697
Thisted Kommune;0.0119927661201;0.0461113234458;0.0164859750357;0.107352269443;0.0905633290763;0.0524969004316;0.330875429978;0.128037810073;0.0457524260532;0.170331770343
T¿nder Kommune;0.0109900642152;0.0462818014334;0.0165170441839;0.12175862326;0.0891558310171;0.055488110071;0.306337390712;0.113984643728;0.0585178322311;0.180968659148
Vallensb_k Kommune;0.00963480409628;0.0504787701666;0.0112029842944;0.107646066481;0.15966925654;0.0641290659824;0.264083921401;0.100719937273;0.0734787464063;0.158956447359
Varde Kommune;0.00795793343517;0.0507194163969;0.012799943638;0.110956329039;0.110408720742;0.0433827461755;0.344490452081;0.106101509285;0.0530123259903;0.160170623217
Vejle Kommune;0.0103550262637;0.0575758324332;0.0189808462331;0.120597541832;0.113303435282;0.047018691148;0.310958451889;0.100938487416;0.0758874533732;0.14438423413
Vesthimmerlands Kommune;0.00846796106912;0.046934439998;0.0127019416037;0.100815177116;0.0889778173015;0.0380020749963;0.362403043328;0.118334074403;0.0449088483771;0.178454621807
Viborg Kommune;0.0111732828904;0.0426457252125;0.015820733627;0.110677525416;0.101425247622;0.053119391863;0.329607435921;0.122537196508;0.0592895367688;0.153703924171
Vordingborg Kommune;0.0101284345223;0.0532676021989;0.019482927242;0.104631456877;0.0829088266694;0.0569780434453;0.346128673424;0.115752826381;0.0533770987883;0.157344110452